First Name,Last Name,League,Team Name,Team Nickname,Aggression,Bravery,Determination,Teamplayer,Leadership,Temperament,Professionalism,Mental Toughness,Goalie Stamina,Acceleration,Agility,Balance,Speed,Stamina,Strength,Fighting,Screening,Getting Open,Passing,Puck Handling,Shooting Accuracy,Shooting Range,Offensive Read,Checking,Faceoffs,Hitting,Positioning,Shot Blocking,Stickchecking,Defensive Read,G Positioning,G Passing,G Pokecheck,Blocker,Glove,Rebound,Recovery,G Puckhandling,Low Shots,G Skating,Reflexes,Position,TPE
Danick,Martel,American Hockey League,Syracuse,Crunch,10,15,15,13,13,10,14,1,1,16,15,13,15,14,11,8,11,16,14,15,15,7,14,14,12,15,13,7,10,12,1,1,1,1,1,1,1,1,1,1,1,Left Wing,892
Alex,Barré-Boulet,American Hockey League,Syracuse,Crunch,6,13,13,15,13,14,14,1,1,15,15,13,13,13,11,6,11,15,14,14,15,7,15,11,12,11,12,6,11,14,1,1,1,1,1,1,1,1,1,1,1,Center,696
Mathieu,Joseph,American Hockey League,Syracuse,Crunch,8,14,13,14,12,13,14,1,1,17,13,13,18,15,13,6,13,15,14,15,16,8,15,14,10,16,15,7,13,15,1,1,1,1,1,1,1,1,1,1,1,Right Wing,1117
Mitchell,Stephens,American Hockey League,Syracuse,Crunch,7,13,15,13,15,14,12,1,1,13,12,14,15,13,14,6,14,14,13,13,15,6,12,14,13,13,12,7,13,12,1,1,1,1,1,1,1,1,1,1,1,Center,701
Daniel,Walcott,American Hockey League,Syracuse,Crunch,12,13,14,15,14,9,13,1,1,15,14,13,14,13,12,8,7,11,14,14,8,13,14,13,7,13,14,14,12,15,1,1,1,1,1,1,1,1,1,1,1,Left Defender,729
Ben,Thomas,American Hockey League,Syracuse,Crunch,7,11,11,13,11,14,12,1,1,15,14,13,15,13,13,8,7,13,14,15,7,15,13,14,7,13,14,12,13,14,1,1,1,1,1,1,1,1,1,1,1,Right Defender,743
Cal,Foote,American Hockey League,Syracuse,Crunch,8,14,12,12,12,12,11,1,1,14,11,13,15,13,15,8,8,14,14,15,8,15,13,13,6,15,13,11,14,12,1,1,1,1,1,1,1,1,1,1,1,Right Defender,762
Alexander,Volkov,American Hockey League,Syracuse,Crunch,9,14,13,14,12,11,15,1,1,15,15,12,15,14,13,7,13,15,14,15,15,7,14,11,9,12,14,7,12,13,1,1,1,1,1,1,1,1,1,1,1,Left Wing,793
Otto,Somppi,American Hockey League,Syracuse,Crunch,6,11,12,15,12,14,12,1,1,14,14,12,14,12,13,6,13,13,14,14,13,6,13,13,13,10,13,6,12,12,1,1,1,1,1,1,1,1,1,1,1,Center,602
Taylor,Raddysh,American Hockey League,Syracuse,Crunch,8,13,12,14,13,13,12,1,1,11,11,14,13,13,15,7,15,14,14,14,15,7,15,13,10,13,12,6,13,11,1,1,1,1,1,1,1,1,1,1,1,Right Wing,704
Boris,Katchouk,American Hockey League,Syracuse,Crunch,9,14,15,11,11,11,13,1,1,12,11,14,13,12,13,9,14,14,13,13,14,7,13,14,10,15,13,7,13,13,1,1,1,1,1,1,1,1,1,1,1,Left Wing,675
Devante,Stephens,American Hockey League,Syracuse,Crunch,10,13,13,12,11,11,12,1,1,14,14,14,14,14,13,7,7,10,14,14,6,15,12,12,6,12,11,13,12,12,1,1,1,1,1,1,1,1,1,1,1,Left Defender,635
Dennis,Yan,American Hockey League,Syracuse,Crunch,9,11,12,13,12,12,12,1,1,15,15,13,15,15,14,8,13,14,13,15,15,7,14,13,10,13,11,6,12,11,1,1,1,1,1,1,1,1,1,1,1,Left Wing,753
Oleg,Sosunov,American Hockey League,Syracuse,Crunch,8,14,14,11,12,12,14,1,1,10,10,15,13,13,16,8,10,11,13,12,7,15,12,15,6,16,13,10,16,12,1,1,1,1,1,1,1,1,1,1,1,Left Defender,749
Ross,Colton,American Hockey League,Syracuse,Crunch,8,11,12,12,12,13,14,1,1,13,12,14,13,13,14,8,14,14,12,14,14,7,14,13,13,14,13,7,13,12,1,1,1,1,1,1,1,1,1,1,1,Center,684
Jimmy,Huntington,American Hockey League,Syracuse,Crunch,8,13,14,15,13,13,13,1,1,14,12,13,14,13,13,6,13,14,14,14,15,6,15,10,13,12,11,7,13,13,1,1,1,1,1,1,1,1,1,1,1,Center,682
Ryan,White,American Hockey League,Manitoba,Moose,16,15,13,11,13,8,11,1,1,12,13,14,12,12,13,14,14,12,12,14,13,6,12,15,15,17,15,7,14,14,1,1,1,1,1,1,1,1,1,1,1,Center,956
Seth,Griffith,American Hockey League,Manitoba,Moose,7,13,15,17,13,14,15,1,1,13,12,12,13,15,12,6,11,14,16,15,15,7,15,13,11,11,13,7,11,15,1,1,1,1,1,1,1,1,1,1,1,Right Wing,731
Brent,Pedersen,American Hockey League,Manitoba,Moose,10,13,13,14,13,13,13,1,1,11,10,13,12,14,14,8,14,12,12,12,13,5,12,12,9,12,13,7,14,12,1,1,1,1,1,1,1,1,1,1,1,Left Wing,542
Eric,Comrie,American Hockey League,Manitoba,Moose,9,1,16,16,12,1,14,14,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,13,13,13,14,14,14,13,14,15,15,Goalie,581
J.C.,Lipon,American Hockey League,Manitoba,Moose,14,16,14,14,12,4,15,1,1,13,13,14,14,12,14,14,15,15,13,14,14,7,14,14,10,16,12,7,13,11,1,1,1,1,1,1,1,1,1,1,1,Right Wing,912
Charles-David,Beaudoin,American Hockey League,Manitoba,Moose,16,14,12,12,12,5,9,1,1,11,10,13,12,14,14,10,4,6,11,12,6,12,9,12,8,13,11,12,12,11,1,1,1,1,1,1,1,1,1,1,1,Right Defender,518
Jimmy,Oligny,American Hockey League,Manitoba,Moose,14,13,14,15,14,6,14,1,1,12,12,15,11,14,16,14,7,11,13,12,6,14,12,15,6,16,13,14,13,13,1,1,1,1,1,1,1,1,1,1,1,Left Defender,809
Émile,Poirier,American Hockey League,Manitoba,Moose,9,14,14,12,13,10,13,1,1,14,13,14,15,12,13,9,13,13,13,13,13,5,12,14,10,14,13,7,14,13,1,1,1,1,1,1,1,1,1,1,1,Right Wing,689
Bobby,Lynch,American Hockey League,Manitoba,Moose,7,12,13,15,12,13,14,1,1,14,13,13,13,12,13,4,14,14,13,14,13,5,14,11,10,10,11,5,12,12,1,1,1,1,1,1,1,1,1,1,1,Right Wing,563
Peter,Stoykewych,American Hockey League,Manitoba,Moose,9,12,13,11,12,11,11,1,1,13,11,14,13,12,14,8,8,9,12,13,7,14,10,14,7,12,14,13,14,13,1,1,1,1,1,1,1,1,1,1,1,Left Defender,573
Derek,Hulak,American Hockey League,Manitoba,Moose,6,12,15,13,13,14,14,1,1,14,14,13,13,13,13,6,13,13,13,14,13,6,14,14,7,11,14,7,14,13,1,1,1,1,1,1,1,1,1,1,1,Left Wing,648
Cameron,Schilling,American Hockey League,Manitoba,Moose,8,14,11,12,12,13,10,1,1,13,12,14,12,14,15,8,8,14,15,14,7,17,14,14,7,14,14,14,14,13,1,1,1,1,1,1,1,1,1,1,1,Left Defender,865
Nelson,Nogier,American Hockey League,Manitoba,Moose,8,15,14,15,14,13,17,1,1,13,13,15,14,15,15,8,8,10,12,11,6,14,12,15,6,16,13,15,14,14,1,1,1,1,1,1,1,1,1,1,1,Right Defender,816
Sami,Niku,American Hockey League,Manitoba,Moose,7,13,13,14,12,16,13,1,1,14,14,14,15,14,14,6,7,13,15,15,8,16,15,13,6,11,13,13,14,14,1,1,1,1,1,1,1,1,1,1,1,Right Defender,834
Johnny,Kovacevic,American Hockey League,Manitoba,Moose,8,13,13,12,13,13,14,1,1,12,10,14,13,12,15,7,8,12,14,15,6,15,13,14,6,13,14,13,15,12,1,1,1,1,1,1,1,1,1,1,1,Right Defender,699
Cole,Maier,American Hockey League,Manitoba,Moose,10,13,12,14,12,12,11,1,1,12,12,13,13,13,13,7,13,12,13,13,13,5,14,12,13,11,13,7,13,13,1,1,1,1,1,1,1,1,1,1,1,Center,574
Hayden,Shaw,American Hockey League,Manitoba,Moose,10,12,10,12,10,10,9,1,1,10,10,11,12,14,11,6,7,10,13,15,9,15,12,11,5,11,12,12,13,11,1,1,1,1,1,1,1,1,1,1,1,Left Defender,472
Michael,Spacek,American Hockey League,Manitoba,Moose,7,13,14,14,11,14,12,1,1,15,14,13,14,13,13,7,12,13,14,14,14,6,13,14,13,11,14,7,13,14,1,1,1,1,1,1,1,1,1,1,1,Center,725
Andrei,Chibisov,American Hockey League,Manitoba,Moose,9,14,14,15,11,10,14,1,1,12,11,16,13,13,16,9,16,12,13,13,14,5,13,15,10,16,13,8,14,13,1,1,1,1,1,1,1,1,1,1,1,Right Wing,850
C.J.,Suess,American Hockey League,Manitoba,Moose,6,13,13,12,13,14,14,1,1,13,14,14,13,14,13,7,13,14,13,15,15,7,15,14,10,13,12,7,13,12,1,1,1,1,1,1,1,1,1,1,1,Left Wing,727
Joona,Luoto,American Hockey League,Manitoba,Moose,7,14,14,16,13,13,15,1,1,13,14,15,13,14,14,7,14,13,11,13,14,6,13,14,10,14,13,7,15,15,1,1,1,1,1,1,1,1,1,1,1,Left Wing,772
Logan,Stanley,American Hockey League,Manitoba,Moose,12,14,13,11,13,8,12,1,1,11,11,15,13,12,16,11,10,13,13,11,7,15,13,14,6,16,13,10,16,12,1,1,1,1,1,1,1,1,1,1,1,Left Defender,784
Jansen,Harkins,American Hockey League,Manitoba,Moose,9,14,14,14,15,13,13,1,1,14,13,14,14,13,14,8,13,12,15,14,14,6,14,12,12,13,15,8,13,14,1,1,1,1,1,1,1,1,1,1,1,Left Wing,778
Skyler,McKenzie,American Hockey League,Manitoba,Moose,8,13,12,15,12,13,15,1,1,14,14,12,15,13,10,7,10,14,14,14,14,7,14,12,11,12,14,7,10,13,1,1,1,1,1,1,1,1,1,1,1,Left Wing,649
Luke,Green,American Hockey League,Manitoba,Moose,8,13,13,12,12,13,12,1,1,16,14,11,15,13,12,7,7,13,14,14,7,15,13,12,7,12,14,11,13,14,1,1,1,1,1,1,1,1,1,1,1,Right Defender,706
Kristian,Reichel,American Hockey League,Manitoba,Moose,10,13,12,13,12,12,12,1,1,14,13,13,13,12,11,6,13,12,13,12,13,5,13,11,13,10,12,6,12,12,1,1,1,1,1,1,1,1,1,1,1,Center,519
Mikhail,Berdin,American Hockey League,Manitoba,Moose,7,1,14,16,12,1,16,12,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,11,13,13,12,14,14,12,13,12,13,Goalie,398
Kristian,Vesalainen,American Hockey League,Manitoba,Moose,6,14,14,14,13,14,12,1,1,14,13,14,14,13,14,7,14,13,15,15,15,7,14,13,8,12,12,6,12,11,1,1,1,1,1,1,1,1,1,1,1,Right Wing,725
Leon,Gawanke,American Hockey League,Manitoba,Moose,6,8,11,14,12,15,13,1,1,13,13,13,14,13,13,6,6,15,15,13,10,16,14,12,6,10,13,11,14,12,1,1,1,1,1,1,1,1,1,1,1,Left Defender,654
Steven,Kampfer,American Hockey League,Providence,Bruins,10,14,15,16,13,12,16,1,1,13,14,15,13,14,15,8,9,12,11,14,6,16,10,14,8,16,14,14,13,14,1,1,1,1,1,1,1,1,1,1,1,Right Defender,831
Chris,Breen,American Hockey League,Providence,Bruins,12,13,14,12,14,10,14,1,1,11,10,14,11,12,17,9,8,8,11,11,6,14,10,13,6,14,13,13,16,13,1,1,1,1,1,1,1,1,1,1,1,Left Defender,634
Brendan,Gaunce,American Hockey League,Providence,Bruins,9,13,13,14,13,13,13,1,1,13,12,14,13,13,15,7,15,13,13,12,14,5,12,15,14,16,15,7,13,14,1,1,1,1,1,1,1,1,1,1,1,Center,813
Brett,Ritchie,American Hockey League,Providence,Bruins,13,15,15,13,13,7,14,1,1,12,11,16,13,12,16,12,16,16,12,13,14,5,12,16,7,18,15,7,14,15,1,1,1,1,1,1,1,1,1,1,1,Right Wing,1087
Alex,Petrovic,American Hockey League,Providence,Bruins,13,14,13,13,13,7,11,1,1,12,14,15,12,13,16,11,8,11,13,13,5,15,10,14,7,17,14,14,16,15,1,1,1,1,1,1,1,1,1,1,1,Right Defender,916
Maxime,Lagacé,American Hockey League,Providence,Bruins,8,1,15,16,13,1,16,15,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,13,14,13,14,15,11,14,13,12,15,Goalie,542
Paul,Carey,American Hockey League,Providence,Bruins,8,13,14,14,12,13,14,1,1,14,14,14,14,12,14,6,14,12,13,14,14,6,13,13,12,15,14,7,12,15,1,1,1,1,1,1,1,1,1,1,1,Center,763
Josiah,Didier,American Hockey League,Providence,Bruins,11,13,13,11,13,10,13,1,1,11,10,14,12,12,14,8,7,8,10,11,6,13,10,14,6,12,14,13,15,13,1,1,1,1,1,1,1,1,1,1,1,Right Defender,527
Brendan,Woods,American Hockey League,Providence,Bruins,13,15,13,14,11,9,12,1,1,13,11,14,14,11,15,9,14,12,12,12,12,5,12,15,12,15,13,7,14,13,1,1,1,1,1,1,1,1,1,1,1,Left Wing,732
Pavel,Shen,American Hockey League,Providence,Bruins,7,12,12,12,13,14,13,1,1,14,13,14,13,14,12,6,12,14,14,15,15,6,15,12,11,12,10,6,11,13,1,1,1,1,1,1,1,1,1,1,1,Center,669
Cameron,Hughes,American Hockey League,Providence,Bruins,8,14,15,14,13,13,13,1,1,15,15,12,14,14,11,7,12,14,14,14,14,6,13,12,14,13,15,8,12,13,1,1,1,1,1,1,1,1,1,1,1,Center,765
Jérémy,Lauzon,American Hockey League,Providence,Bruins,10,11,12,14,11,11,13,1,1,15,14,12,15,13,15,8,8,11,15,15,6,16,14,14,7,13,14,11,12,13,1,1,1,1,1,1,1,1,1,1,1,Left Defender,783
Zach,Senyshyn,American Hockey League,Providence,Bruins,6,15,13,14,14,16,15,1,1,16,14,13,16,14,14,6,14,14,13,15,14,7,14,11,10,11,12,6,12,12,1,1,1,1,1,1,1,1,1,1,1,Right Wing,795
Peter,Cehlárik,American Hockey League,Providence,Bruins,6,12,13,13,11,15,13,1,1,14,13,15,14,14,15,6,14,13,14,14,14,8,15,13,10,11,11,7,14,13,1,1,1,1,1,1,1,1,1,1,1,Left Wing,749
Ryan,Fitzgerald,American Hockey League,Providence,Bruins,8,15,13,13,13,13,13,1,1,15,15,12,15,14,13,9,12,13,14,13,14,7,13,13,13,14,13,7,10,13,1,1,1,1,1,1,1,1,1,1,1,Center,749
Wiley,Sherman,American Hockey League,Providence,Bruins,8,13,13,12,12,13,13,1,1,11,12,16,13,14,15,9,10,10,13,12,7,14,10,14,7,14,13,13,16,15,1,1,1,1,1,1,1,1,1,1,1,Left Defender,741
Anton,Blidh,American Hockey League,Providence,Bruins,10,13,14,12,12,9,10,1,1,14,15,13,14,12,15,7,14,11,13,13,15,5,13,14,9,16,14,7,14,14,1,1,1,1,1,1,1,1,1,1,1,Left Wing,807
Oskar,Steen,American Hockey League,Providence,Bruins,9,13,13,12,12,12,11,1,1,15,14,12,14,14,13,7,12,13,13,15,14,6,14,13,14,14,12,8,13,12,1,1,1,1,1,1,1,1,1,1,1,Center,738
Anders,Bjork,American Hockey League,Providence,Bruins,6,14,14,14,12,15,14,1,1,14,14,14,14,14,13,6,13,13,14,15,14,7,15,13,11,12,13,7,13,13,1,1,1,1,1,1,1,1,1,1,1,Left Wing,754
Urho,Vaakanainen,American Hockey League,Providence,Bruins,6,13,14,14,11,15,14,1,1,15,14,14,14,14,13,6,6,11,14,14,8,15,11,14,6,12,13,14,13,15,1,1,1,1,1,1,1,1,1,1,1,Left Defender,738
Trent,Frederic,American Hockey League,Providence,Bruins,10,14,14,16,12,11,13,1,1,14,14,13,15,12,14,9,14,14,13,13,14,7,13,13,13,13,12,7,12,12,1,1,1,1,1,1,1,1,1,1,1,Center,716
Jack,Studnicka,American Hockey League,Providence,Bruins,10,13,14,14,13,13,13,1,1,14,13,14,15,14,13,6,13,14,15,15,14,7,14,12,13,11,13,6,13,13,1,1,1,1,1,1,1,1,1,1,1,Center,763
Jakub,Zboril,American Hockey League,Providence,Bruins,8,13,13,15,11,12,13,1,1,15,13,13,16,13,15,8,7,12,14,15,7,15,11,14,7,13,13,13,13,12,1,1,1,1,1,1,1,1,1,1,1,Left Defender,747
Dan,Vladar,American Hockey League,Providence,Bruins,8,1,15,16,13,1,15,12,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,12,12,13,13,14,15,12,13,12,15,Goalie,443
Joona,Koppanen,American Hockey League,Providence,Bruins,6,11,12,13,11,15,12,1,1,13,12,14,14,13,12,6,16,11,12,13,14,5,12,14,14,13,14,8,16,13,1,1,1,1,1,1,1,1,1,1,1,Center,734
Jakub,Lauko,American Hockey League,Providence,Bruins,9,13,13,16,12,10,15,1,1,16,15,12,14,13,13,6,12,12,12,13,15,5,12,14,12,13,12,8,13,13,1,1,1,1,1,1,1,1,1,1,1,Left Wing,692
Cooper,Zech,American Hockey League,Providence,Bruins,8,10,13,15,14,14,15,1,1,14,15,12,13,14,10,5,4,11,14,15,8,15,14,11,5,9,13,11,12,13,1,1,1,1,1,1,1,1,1,1,1,Left Defender,586
Jacob,Bryson,American Hockey League,Rochester,Americans,6,13,13,15,14,15,15,1,1,14,13,13,13,13,11,6,6,11,14,14,6,15,12,13,6,11,15,15,12,15,1,1,1,1,1,1,1,1,1,1,1,Left Defender,666
Nathan,Paetsch,American Hockey League,Rochester,Americans,9,13,14,14,16,12,13,1,1,14,13,12,15,12,12,6,9,11,14,15,10,13,14,12,7,11,14,11,13,13,1,1,1,1,1,1,1,1,1,1,1,Left Defender,626
Kevin,Porter,American Hockey League,Rochester,Americans,8,15,15,15,14,12,14,1,1,13,13,12,13,11,13,8,13,13,12,12,13,7,13,14,14,15,15,8,13,14,1,1,1,1,1,1,1,1,1,1,1,Center,701
Tyler,Randell,American Hockey League,Rochester,Americans,19,15,16,12,12,5,14,1,1,12,12,15,12,11,16,15,14,11,10,12,13,7,11,14,7,16,13,7,14,13,1,1,1,1,1,1,1,1,1,1,1,Right Wing,934
Zach,Redmond,American Hockey League,Rochester,Americans,8,10,12,12,13,14,11,1,1,13,13,15,14,12,14,7,8,12,14,14,7,15,14,13,6,13,13,12,14,14,1,1,1,1,1,1,1,1,1,1,1,Right Defender,693
Dalton,Smith,American Hockey League,Rochester,Americans,15,16,14,12,14,8,11,1,1,12,12,14,13,13,16,12,15,10,12,12,12,5,11,15,10,16,14,9,13,14,1,1,1,1,1,1,1,1,1,1,1,Left Wing,856
Curtis,Lazar,American Hockey League,Rochester,Americans,9,14,14,13,12,12,13,1,1,13,14,14,13,13,14,8,13,14,14,14,12,5,11,15,10,17,14,8,13,14,1,1,1,1,1,1,1,1,1,1,1,Center,806
Taylor,Leier,American Hockey League,Rochester,Americans,8,14,14,14,13,12,12,1,1,15,14,11,14,14,13,6,12,12,13,15,15,7,14,14,9,12,14,8,14,14,1,1,1,1,1,1,1,1,1,1,1,Left Wing,762
Jean-Sébastien,Dea,American Hockey League,Rochester,Americans,9,13,12,14,12,12,12,1,1,14,15,12,14,12,12,8,12,14,12,15,15,7,13,13,15,15,15,8,12,14,1,1,1,1,1,1,1,1,1,1,1,Center,800
Jarrett,Burton,American Hockey League,Rochester,Americans,11,13,12,13,10,11,12,1,1,12,12,13,12,11,13,8,13,13,15,14,13,6,13,13,13,10,13,7,12,13,1,1,1,1,1,1,1,1,1,1,1,Center,591
Scott,Wilson,American Hockey League,Rochester,Americans,6,14,15,12,13,15,13,1,1,14,14,13,14,13,14,6,14,15,13,14,13,6,12,14,10,16,14,7,14,14,1,1,1,1,1,1,1,1,1,1,1,Left Wing,818
Casey,Nelson,American Hockey League,Rochester,Americans,6,14,13,15,13,15,14,1,1,14,14,14,14,15,13,7,8,12,13,14,7,15,13,15,7,13,14,13,15,15,1,1,1,1,1,1,1,1,1,1,1,Right Defender,818
C.J.,Smith,American Hockey League,Rochester,Americans,7,14,15,14,12,14,16,1,1,16,14,11,14,12,14,8,12,14,14,15,15,8,14,14,9,14,12,7,12,14,1,1,1,1,1,1,1,1,1,1,1,Left Wing,795
John,Gilmour,American Hockey League,Rochester,Americans,8,13,14,16,14,13,12,1,1,14,13,14,13,15,13,6,8,14,14,15,8,16,14,13,7,13,12,13,12,12,1,1,1,1,1,1,1,1,1,1,1,Left Defender,741
Andrew,Oglevie,American Hockey League,Rochester,Americans,6,13,13,14,12,15,13,1,1,14,14,14,15,14,12,6,12,14,14,14,14,6,14,11,14,11,13,6,11,13,1,1,1,1,1,1,1,1,1,1,1,Center,712
Andrew,MacWilliam,American Hockey League,Rochester,Americans,15,16,15,11,14,8,14,1,1,12,11,14,11,13,15,14,8,9,11,12,7,14,10,15,7,16,12,12,14,13,1,1,1,1,1,1,1,1,1,1,1,Left Defender,765
Remi,Elie,American Hockey League,Rochester,Americans,7,14,14,13,11,14,13,1,1,14,15,14,14,12,15,6,12,13,13,14,14,6,13,14,8,16,13,7,13,14,1,1,1,1,1,1,1,1,1,1,1,Left Wing,789
Andrew,Hammond,American Hockey League,Rochester,Americans,8,1,13,14,12,1,13,15,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,14,13,14,13,15,14,13,14,12,14,Goalie,573
Jonas,Johansson,American Hockey League,Rochester,Americans,8,1,15,17,13,1,16,13,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,13,14,14,14,15,14,11,11,14,12,Goalie,473
Lawrence,Pilut,American Hockey League,Rochester,Americans,7,14,14,16,12,14,15,1,1,16,15,14,15,15,11,6,7,11,13,14,5,15,12,15,7,12,14,13,14,15,1,1,1,1,1,1,1,1,1,1,1,Left Defender,829
Eric,Cornel,American Hockey League,Rochester,Americans,8,13,13,14,14,13,14,1,1,15,12,14,15,13,14,6,14,13,13,13,13,5,12,13,12,13,13,7,14,14,1,1,1,1,1,1,1,1,1,1,1,Right Wing,710
Will,Borgen,American Hockey League,Rochester,Americans,9,14,13,15,14,12,12,1,1,14,14,12,14,14,14,8,7,10,14,14,6,16,10,13,7,14,13,13,15,13,1,1,1,1,1,1,1,1,1,1,1,Right Defender,745
Sean,Malone,American Hockey League,Rochester,Americans,7,13,13,14,12,14,15,1,1,14,14,13,14,13,13,7,13,13,13,14,13,6,13,12,14,12,15,7,13,14,1,1,1,1,1,1,1,1,1,1,1,Center,703
Rasmus,Asplund,American Hockey League,Rochester,Americans,7,11,14,14,12,14,12,1,1,16,15,13,15,13,12,6,11,12,14,14,14,5,13,13,14,11,14,8,12,14,1,1,1,1,1,1,1,1,1,1,1,Center,732
Brandon,Hickey,American Hockey League,Rochester,Americans,8,13,13,15,13,14,14,1,1,14,14,15,14,14,14,9,7,11,14,12,7,15,12,14,7,14,13,13,14,11,1,1,1,1,1,1,1,1,1,1,1,Left Defender,723
Brett,Murray,American Hockey League,Rochester,Americans,11,14,10,12,12,10,11,1,1,12,12,13,13,12,14,8,10,13,13,13,13,6,14,11,11,11,13,7,12,11,1,1,1,1,1,1,1,1,1,1,1,Left Wing,543
Casey,Fitzgerald,American Hockey League,Rochester,Americans,9,13,13,13,11,9,11,1,1,15,14,12,15,13,13,8,7,11,14,14,7,16,12,15,6,15,13,13,12,13,1,1,1,1,1,1,1,1,1,1,1,Right Defender,755
Tage,Thompson,American Hockey League,Rochester,Americans,9,15,14,12,12,13,14,1,1,13,13,15,13,12,16,6,16,15,13,13,14,5,12,13,10,13,13,6,14,13,1,1,1,1,1,1,1,1,1,1,1,Right Wing,793
Ukko-Pekka,Luukkonen,American Hockey League,Rochester,Americans,8,1,14,15,13,1,14,15,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,13,14,13,14,15,12,14,12,12,14,Goalie,542
Casey,Mittelstadt,American Hockey League,Rochester,Americans,6,15,14,17,15,17,16,1,1,15,16,16,15,14,15,6,15,15,15,17,16,6,15,12,11,11,15,6,15,15,1,1,1,1,1,1,1,1,1,1,1,Center,1146
Zac,Rinaldo,American Hockey League,Stockton,Heat,11,18,15,15,12,10,12,1,1,13,13,15,14,13,16,15,15,13,12,13,14,6,11,13,8,18,13,8,13,13,1,1,1,1,1,1,1,1,1,1,1,Left Wing,1008
Byron,Froese,American Hockey League,Stockton,Heat,9,15,15,14,13,13,15,1,1,13,12,13,13,13,14,8,14,13,14,14,13,5,12,14,12,14,14,9,14,14,1,1,1,1,1,1,1,1,1,1,1,Center,749
Zach,Leslie,American Hockey League,Stockton,Heat,8,12,11,12,14,13,11,1,1,15,15,13,14,14,12,7,7,12,14,15,6,15,13,14,6,12,14,13,14,14,1,1,1,1,1,1,1,1,1,1,1,Left Defender,763
Alan,Quine,American Hockey League,Stockton,Heat,7,13,15,14,12,15,15,1,1,13,15,15,15,15,15,6,13,13,14,14,14,6,13,13,9,15,14,7,12,12,1,1,1,1,1,1,1,1,1,1,1,Center,796
